x,y
banks superior temporal,bankssts
caudal anterior cingulate,caudal anterior cingulate
caudal middle frontal,caudal middle frontal
cuneus,cuneus
entorhinal,entorhinal
fusiform,fusiform
inferior parietal,inferior parietal
inferior temporal,inferior temporal
isthmus cingulate,isthmus cingulate
lateral occipital,lateral occipital
lateral orbitofrontal,lateral orbitofrontal
lingual,lingual
medial orbito frontal,medial orbitofrontal
middle temporal,middle temporal
parahippocampal,parahippocampal
para central,paracentral
pars opercularis,pars opercularis
pars orbitalis,pars orbitalis
pars triangularis,pars triangularis
pericalcarine,pericalcarine
post central,postcentral
posterior cingulate,posterior cingulate
pre central,precentral
precuneus,precuneus
rostral anterior cingulate,rostral anterior cingulate
rostral middle frontal,rostral middle frontal
superior frontal,superior frontal
superior parietal,superior parietal
superior temporal,superior temporal
supramarginal,supramarginal
frontal pole,frontal pole
temporal pole,temporal pole
transverse temporal,transverse temporal
insula,insula