AHBA regions,left hemisphere Smrithi regions
ctx-lh-bankssts,L.ctx_bankssts
ctx-lh-caudalanteriorcingulate,L.ctx_caudalanteriorcingulate
ctx-lh-caudalmiddlefrontal,L.ctx_caudalmiddlefrontal
ctx-lh-cuneus,L.ctx_cuneus
ctx-lh-entorhinal,L.ctx_entorhinal
ctx-lh-fusiform,L.ctx_fusiform
ctx-lh-inferiorparietal,L.ctx_inferiorparietal
ctx-lh-inferiortemporal,L.ctx_inferiortemporal
ctx-lh-isthmuscingulate,L.ctx_isthmuscingulate
ctx-lh-lateraloccipital,L.ctx_lateraloccipital
ctx-lh-lateralorbitofrontal,L.ctx_lateralorbitofrontal
ctx-lh-lingual,L.ctx_lingual
ctx-lh-medialorbitofrontal,L.ctx_medialorbitofrontal
ctx-lh-middletemporal,L.ctx_middletemporal
ctx-lh-parahippocampal,L.ctx_parahippocampal
ctx-lh-paracentral,L.ctx_paracentral
ctx-lh-parsopercularis,L.ctx_parsopercularis
ctx-lh-parsorbitalis,L.ctx_parsorbitalis
ctx-lh-parstriangularis,L.ctx_parstriangularis
ctx-lh-pericalcarine,L.ctx_pericalcarine
ctx-lh-postcentral,L.ctx_postcentral
ctx-lh-posteriorcingulate,L.ctx_posteriorcingulate
ctx-lh-precentral,L.ctx_precentral
ctx-lh-precuneus,L.ctx_precuneus
ctx-lh-rostralanteriorcingulate,L.ctx_rostralanteriorcingulate
ctx-lh-rostralmiddlefrontal,L.ctx_rostralmiddlefrontal
ctx-lh-superiorfrontal,L.ctx_superiorfrontal
ctx-lh-superiorparietal,L.ctx_superiorparietal
ctx-lh-superiortemporal,L.ctx_superiortemporal
ctx-lh-supramarginal,L.ctx_supramarginal
ctx-lh-frontalpole,L.ctx_frontalpole
ctx-lh-temporalpole,L.ctx_temporalpole
ctx-lh-transversetemporal,L.ctx_transversetemporal
ctx-lh-insula,L.ctx_insula